ticker,year,cluster,is_noise,theme_label
A,2023,11,False,"A, ADI, ADP, ADSK, ALGN"
AAPL,2023,14,False,"AAPL, ACN, AKAM, AVGO, AXON"
ABBV,2023,3,False,"ABBV, ABT, BAX, BDX, BIIB"
ABNB,2023,-1,True,noise
ABT,2023,3,False,"ABBV, ABT, BAX, BDX, BIIB"
ACGL,2023,12,False,"ACGL, APO, BRO, CDW, CNC"
ACN,2023,14,False,"AAPL, ACN, AKAM, AVGO, AXON"
ADBE,2023,-1,True,noise
ADI,2023,11,False,"A, ADI, ADP, ADSK, ALGN"
ADM,2023,2,False,"ADM, BBY, CAG, CASY, CL"
ADP,2023,11,False,"A, ADI, ADP, ADSK, ALGN"
ADSK,2023,11,False,"A, ADI, ADP, ADSK, ALGN"
AEE,2023,0,False,"AEE, ALL, AMGN, APH, AZO"
AEP,2023,6,False,"AEP, ATO, CEG, CMS, DUK"
AES,2023,7,False,"AES, AON, CFG, EMR, HBAN"
AFL,2023,13,False,"AFL, ARES, AVB, AWK, BF-B"
AIG,2023,-1,True,noise
AIZ,2023,-1,True,noise
AJG,2023,5,False,"AJG, AMP, BAC, BK, CB"
AKAM,2023,14,False,"AAPL, ACN, AKAM, AVGO, AXON"
ALB,2023,-1,True,noise
ALGN,2023,11,False,"A, ADI, ADP, ADSK, ALGN"
ALL,2023,0,False,"AEE, ALL, AMGN, APH, AZO"
ALLE,2023,8,False,"ALLE, AVY, BEN, CLX, DHR"
AMAT,2023,1,False,"AMAT, APA, C, CAH, CHD"
AMCR,2023,-1,True,noise
AMD,2023,-1,True,noise
AME,2023,-1,True,noise
AMGN,2023,0,False,"AEE, ALL, AMGN, APH, AZO"
AMP,2023,5,False,"AJG, AMP, BAC, BK, CB"
AMT,2023,-1,True,noise
AMZN,2023,-1,True,noise
ANET,2023,11,False,"A, ADI, ADP, ADSK, ALGN"
AON,2023,7,False,"AES, AON, CFG, EMR, HBAN"
AOS,2023,-1,True,noise
APA,2023,1,False,"AMAT, APA, C, CAH, CHD"
APD,2023,-1,True,noise
APH,2023,0,False,"AEE, ALL, AMGN, APH, AZO"
APO,2023,12,False,"ACGL, APO, BRO, CDW, CNC"
APP,2023,11,False,"A, ADI, ADP, ADSK, ALGN"
APTV,2023,-1,True,noise
ARE,2023,-1,True,noise
ARES,2023,13,False,"AFL, ARES, AVB, AWK, BF-B"
ATO,2023,6,False,"AEP, ATO, CEG, CMS, DUK"
AVB,2023,13,False,"AFL, ARES, AVB, AWK, BF-B"
AVGO,2023,14,False,"AAPL, ACN, AKAM, AVGO, AXON"
AVY,2023,8,False,"ALLE, AVY, BEN, CLX, DHR"
AWK,2023,13,False,"AFL, ARES, AVB, AWK, BF-B"
AXON,2023,14,False,"AAPL, ACN, AKAM, AVGO, AXON"
AXP,2023,10,False,"AXP, CARR, CHRW, CMI, COHR"
AZO,2023,0,False,"AEE, ALL, AMGN, APH, AZO"
BA,2023,11,False,"A, ADI, ADP, ADSK, ALGN"
BAC,2023,5,False,"AJG, AMP, BAC, BK, CB"
BALL,2023,-1,True,noise
BAX,2023,3,False,"ABBV, ABT, BAX, BDX, BIIB"
BBY,2023,2,False,"ADM, BBY, CAG, CASY, CL"
BDX,2023,3,False,"ABBV, ABT, BAX, BDX, BIIB"
BEN,2023,8,False,"ALLE, AVY, BEN, CLX, DHR"
BF-B,2023,13,False,"AFL, ARES, AVB, AWK, BF-B"
BG,2023,13,False,"AFL, ARES, AVB, AWK, BF-B"
BIIB,2023,3,False,"ABBV, ABT, BAX, BDX, BIIB"
BK,2023,5,False,"AJG, AMP, BAC, BK, CB"
BKNG,2023,11,False,"A, ADI, ADP, ADSK, ALGN"
BKR,2023,11,False,"A, ADI, ADP, ADSK, ALGN"
BLDR,2023,-1,True,noise
BMY,2023,0,False,"AEE, ALL, AMGN, APH, AZO"
BR,2023,-1,True,noise
BRK-B,2023,-1,True,noise
BRO,2023,12,False,"ACGL, APO, BRO, CDW, CNC"
BSX,2023,3,False,"ABBV, ABT, BAX, BDX, BIIB"
BX,2023,-1,True,noise
BXP,2023,4,False,"BXP, CBRE, CPT, DHI, DLR"
C,2023,1,False,"AMAT, APA, C, CAH, CHD"
CAG,2023,2,False,"ADM, BBY, CAG, CASY, CL"
CAH,2023,1,False,"AMAT, APA, C, CAH, CHD"
CARR,2023,10,False,"AXP, CARR, CHRW, CMI, COHR"
CASY,2023,2,False,"ADM, BBY, CAG, CASY, CL"
CAT,2023,-1,True,noise
CB,2023,5,False,"AJG, AMP, BAC, BK, CB"
CBOE,2023,-1,True,noise
CBRE,2023,4,False,"BXP, CBRE, CPT, DHI, DLR"
CCI,2023,-1,True,noise
CCL,2023,-1,True,noise
CDNS,2023,11,False,"A, ADI, ADP, ADSK, ALGN"
CDW,2023,12,False,"ACGL, APO, BRO, CDW, CNC"
CEG,2023,6,False,"AEP, ATO, CEG, CMS, DUK"
CF,2023,-1,True,noise
CFG,2023,7,False,"AES, AON, CFG, EMR, HBAN"
CHD,2023,1,False,"AMAT, APA, C, CAH, CHD"
CHRW,2023,10,False,"AXP, CARR, CHRW, CMI, COHR"
CHTR,2023,-1,True,noise
CI,2023,0,False,"AEE, ALL, AMGN, APH, AZO"
CIEN,2023,11,False,"A, ADI, ADP, ADSK, ALGN"
CINF,2023,5,False,"AJG, AMP, BAC, BK, CB"
CL,2023,2,False,"ADM, BBY, CAG, CASY, CL"
CLX,2023,8,False,"ALLE, AVY, BEN, CLX, DHR"
CMCSA,2023,9,False,"CMCSA, EA, FOX, FOXA, HAS"
CME,2023,-1,True,noise
CMG,2023,-1,True,noise
CMI,2023,10,False,"AXP, CARR, CHRW, CMI, COHR"
CMS,2023,6,False,"AEP, ATO, CEG, CMS, DUK"
CNC,2023,12,False,"ACGL, APO, BRO, CDW, CNC"
CNP,2023,-1,True,noise
COF,2023,0,False,"AEE, ALL, AMGN, APH, AZO"
COHR,2023,10,False,"AXP, CARR, CHRW, CMI, COHR"
COIN,2023,-1,True,noise
COO,2023,-1,True,noise
COP,2023,1,False,"AMAT, APA, C, CAH, CHD"
COR,2023,3,False,"ABBV, ABT, BAX, BDX, BIIB"
COST,2023,-1,True,noise
CPAY,2023,-1,True,noise
CPB,2023,2,False,"ADM, BBY, CAG, CASY, CL"
CPRT,2023,0,False,"AEE, ALL, AMGN, APH, AZO"
CPT,2023,4,False,"BXP, CBRE, CPT, DHI, DLR"
CRH,2023,-1,True,noise
CRL,2023,-1,True,noise
CRM,2023,11,False,"A, ADI, ADP, ADSK, ALGN"
CRWD,2023,11,False,"A, ADI, ADP, ADSK, ALGN"
CSCO,2023,-1,True,noise
CSGP,2023,-1,True,noise
