method,year,theme_id,n_members,avg_affinity,members
e5,2019,3,21,0.486,"BXP, CBRE, CPT, CSGP, DHI, DLR, EQR, ESS, FRT, INVH, KIM, LEN, LOW, MAA, NVR, PLD, REG, SPG, UDR, VTR, WELL"
e5,2019,7,37,0.402,"AAPL, ADI, ADSK, ALGN, AMCR, APD, CIEN, CLX, COO, DECK, DIS, DLTR, EA, GEN, GOOG, GOOGL, HAS, HPE, HPQ, JCI, KLAC, KR, LITE, MA, MU, NFLX, NTAP, PANW, PAYX, ROK, SNPS, STZ, TPR, TTWO, ULTA, V, WDC"
e5,2019,8,38,0.4,"AEP, AES, ATO, CFG, CMS, CNP, COF, CVX, D, DUK, ECL, EOG, EQT, EXC, EXE, FANG, FE, GNRC, HBAN, HD, KDP, LNT, MPC, NI, NRG, NUE, OKE, PCG, PNC, PNW, PPL, RF, SLB, SRE, TAP, VICI, WEC, XOM"
e5,2019,10,30,0.394,"ADBE, ADP, AKAM, ANET, CRM, CRWD, CTSH, DELL, EBAY, EFX, EQIX, FIS, FTNT, GDDY, IBM, ICE, INTU, MSFT, NOW, ORCL, PWR, PYPL, RSG, STX, T, TRMB, TXN, TYL, VRSN, VZ"
e5,2021,6,8,1.0,"AOS, CF, EMR, MAS, PNR, POOL, SLB, XYL"
e5,2021,7,12,1.0,"AMZN, BBY, CMCSA, FOX, FOXA, NWS, NWSA, ROST, TGT, TJX, WBD, WSM"
e5,2021,0,26,0.896,"AMAT, APA, C, CAG, CAH, CHD, COP, CTRA, DTE, DVN, ED, EIX, FCX, GWW, HON, KMI, LYB, MAA, MS, O, OXY, PHM, PSX, VLO, WAT, WY"
e5,2021,14,10,0.844,"AFL, BLDR, BRO, BX, CLX, COO, EW, HLT, LH, SNA"
e5,2021,9,12,0.757,"BALL, ECL, GL, MLM, NUE, PG, PH, PKG, PNC, PPG, STT, TROW"
e5,2021,1,30,0.74,"AEE, ALL, AMGN, APH, AZO, BMY, CCL, CI, CPRT, DGX, EOG, EXC, FE, FITB, GS, IP, JPM, MCO, MSI, NDSN, NEM, NKE, ON, PFE, SCHW, SO, UPS, WEC, WMB, ZTS"
e5,2021,3,15,0.708,"CASY, DPZ, GIS, HRL, IFF, ITW, MKC, MNST, MOS, SJM, SPGI, SYY, TSCO, TSN, YUM"
e5,2021,16,13,0.708,"ALLE, APD, APTV, CDNS, CPAY, EME, FANG, FSLR, PWR, TSLA, TT, URI, WDAY"
e5,2021,15,13,0.704,"ADBE, ADSK, BKNG, DIS, FISV, LDOS, MA, RL, ROP, SATS, STZ, TTWO, ULTA"
e5,2021,13,17,0.571,"AIZ, ARES, AVB, AWK, BF-B, BRK-B, CTVA, FDS, FFIV, HSY, IDXX, IR, MMM, NEE, NXPI, PEP, PFG"
